pixel_id x y N_photoelectrons_fited N_photoelectrons_std_fited FF_coef_independent_way FF_coef_model_way FF_coef_model_way_err high_gain_init low_gain_init Charge_init N_photoelectrons_init N_photoelectrons_std_init
0 -0.9819805060619657 0.4535573676110728 40.60806161232963 0.38184365674960624 0.9327190446565262 1.008972959272245 0.15791336303608342 58.55016088280497 4.137487261379071 2398.94272514037 40.97243609530187 6.400971496210702
1 -1.0147131895973645 0.4157609203101501 40.41030654647011 0.3900749475612955 0.9723745393883562 1.057017982747621 0.16205321544669712 59.956386643483306 3.7490155744776974 2561.0023232190283 42.714420707962816 6.535627032501382
2 -1.063812214900463 0.4252100321353807 39.88956551758359 0.4193126779152191 0.955832488075327 1.05260014118088 0.1628197952946052 64.1077388816647 4.209584802438343 2691.7405014622727 41.987762295452455 6.479796470218217
3 -1.031079531365064 0.4630064794363034 40.09559412628256 0.4102281108647417 0.8609056152814192 0.9431913940440589 0.1536772267749562 59.29002094441462 5.21870926126683 2242.2192994951965 37.81781931899323 6.149619445054566
4 -1.080178556668162 0.4724555912615341 39.568226161494486 0.4405250565803367 0.9018976232085096 1.0012709201453838 0.15946532161995772 58.53126618590461 3.977283467896913 2318.9218015393344 39.61851421724023 6.294323968246331
5 -1.0474458731327634 0.5102520385624568 39.76186035631337 0.4320556155878494 0.895643277423925 0.9894852321335248 0.15811668765336145 56.924164914201526 3.857268710232519 2239.6114581610022 39.34377362472753 6.272461528357709
6 -0.9983468478296651 0.5008029267372262 40.28093424954146 0.4025304767010649 0.936847541846442 1.021669265684512 0.15958643557052896 58.517842978355795 1.8987604940747678 2408.2311684043043 41.15379251581514 6.415122174660054
7 -0.9819805060619657 0.3212698020578432 40.98073392172692 0.3550201597384991 0.9709051355199776 1.0407298436606114 0.15961477218349157 54.9162592915008 3.4147051529268246 2342.1714738437813 42.64987280745597 6.53068700884187
8 -1.0147131895973645 0.2834733547569205 40.737154144327405 0.3654992910327849 0.890403620916193 0.9601457704689784 0.15376442988696665 80.0724866050066 5.336579514358266 3131.9237127363194 39.11360625261877 6.254087163816856
9 -1.063812214900463 0.29292246658215115 40.22305753039997 0.39330103199994454 0.9068745092598564 0.9904055302513904 0.15721518372793108 58.20327115246706 3.767473985329677 2318.6517811388508 39.837138621727966 6.3116668655536605
